arm,pid,metric,n_logged_steps,mean,population_std,min,max,step1,step150,last50_mean
target,2524363,actor/grad_norm,150,4.958686666666667,7.419895321037592,2.151,52.304,52.304,2.902,2.85754
target,2524363,actor/lr,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac/alfworld,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac/search,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac/webshop,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac_lower,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac_lower/alfworld,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac_lower/search,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_clipfrac_lower/webshop,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_loss,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_loss/alfworld,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_loss/search,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/pg_loss/webshop,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/ppo_kl,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/ppo_kl/alfworld,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/ppo_kl/search,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/ppo_kl/webshop,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,actor/teacher_kl_coef,150,1.0,0.0,1.0,1.0,1.0,1.0,1.0
target,2524363,actor/teacher_kl_loss,150,0.05209333333333333,0.12253420456708766,0.005,0.637,0.617,0.006,0.00614
target,2524363,actor/teacher_kl_loss/alfworld,150,0.058526666666666664,0.13982540049011918,0.004,0.726,0.686,0.004,0.00496
target,2524363,actor/teacher_kl_loss/search,150,0.06985999999999999,0.18853898023132157,0.013,1.323,1.323,0.027,0.02444
target,2524363,actor/teacher_kl_loss/webshop,150,0.023506666666666665,0.04802828981154984,0.004,0.26,0.255,0.006,0.00538
target,2524363,actor/teacher_kl_loss_weighted,150,0.05008,0.11779872778034008,0.009,0.691,0.619,0.012,0.0121
target,2524363,episode/alfworld_look_at_obj_in_light_success_rate,100,0.71647,0.3301652754303517,0.0,1.0,0.0,,0.8238235294117647
target,2524363,episode/alfworld_pick_and_place_success_rate,148,0.7366621621621622,0.25330847432111825,0.0,1.0,0.025,0.917,0.79912
target,2524363,episode/alfworld_pick_clean_then_place_in_recep_success_rate,143,0.7005104895104896,0.30636663595149505,0.0,1.0,0.125,1.0,0.7987708333333333
target,2524363,episode/alfworld_pick_cool_then_place_in_recep_success_rate,146,0.6388630136986302,0.3174686400247067,0.0,1.0,,0.125,0.7094693877551022
target,2524363,episode/alfworld_pick_heat_then_place_in_recep_success_rate,124,0.7171290322580646,0.31541953546138574,0.0,1.0,,1.0,0.7473255813953488
target,2524363,episode/alfworld_pick_two_obj_and_place_success_rate,147,0.36697278911564624,0.24031283312168147,0.0,1.0,0.071,0.275,0.41425
target,2524363,episode/alfworld_success_rate,150,0.6295999999999999,0.1851548181027614,0.033,0.925,0.058,0.667,0.69202
target,2524363,episode/response_tokens/max,150,14689.673333333334,2905.358388671219,7153.0,25600.0,8693.0,16090.0,14949.34
target,2524363,episode/response_tokens/max/alfworld,150,14689.673333333334,2905.358388671219,7153.0,25600.0,8693.0,16090.0,14949.34
target,2524363,episode/response_tokens/max/search,150,900.48,173.16965554045547,506.0,1645.0,506.0,1141.0,916.06
target,2524363,episode/response_tokens/max/webshop,150,4461.706666666667,398.97474517679547,3461.0,5468.0,4469.0,4934.0,4410.46
target,2524363,episode/response_tokens/mean,150,2751.5697733333336,991.5507672118199,1551.892,7897.772,2742.217,2732.467,2559.23954
target,2524363,episode/response_tokens/mean/alfworld,150,6152.53882,2955.3728039636107,2751.617,21662.4,6174.033,5708.567,5597.852260000001
target,2524363,episode/response_tokens/mean/search,150,317.95149333333336,44.894152765031166,149.025,458.708,152.3,369.117,327.40246
target,2524363,episode/response_tokens/mean/webshop,150,1784.2188466666666,218.32599976303743,1293.292,2555.608,1900.317,2119.717,1752.46368
target,2524363,episode/response_tokens/min,150,118.48666666666666,24.593152615221083,27.0,176.0,39.0,141.0,120.72
target,2524363,episode/response_tokens/min/alfworld,150,539.16,522.108916861862,234.0,5306.0,533.0,383.0,450.74
target,2524363,episode/response_tokens/min/search,150,118.48666666666666,24.593152615221083,27.0,176.0,39.0,141.0,120.72
target,2524363,episode/response_tokens/min/webshop,150,612.0333333333333,151.38914169193978,356.0,917.0,492.0,860.0,622.18
target,2524363,episode/reward/mean,150,4.1694466666666665,1.1179711477294731,0.292,6.142,0.444,4.108,4.56628
target,2524363,episode/reward/mean/alfworld,150,6.2961,1.8512249341089446,0.333,9.25,0.583,6.667,6.920019999999999
target,2524363,episode/reward/mean/search,150,0.3883,0.10513297928496716,0.15,0.658,0.333,0.325,0.40556
target,2524363,episode/reward/mean/webshop,150,5.823873333333333,1.8329578983950747,0.25,8.917,0.417,5.333,6.37338
target,2524363,episode/search_hotpotqa_success_rate,150,0.40416,0.14935180302449202,0.021,0.833,0.25,0.4,0.41928
target,2524363,episode/search_nq_success_rate,150,0.36948,0.1674171922673017,0.0,0.875,0.389,0.287,0.40274
target,2524363,episode/search_success_rate,150,0.3883,0.10513297928496716,0.15,0.658,0.333,0.325,0.40556
target,2524363,episode/success_rate,150,0.5334466666666666,0.12329225640278017,0.117,0.767,0.144,0.508,0.57828
target,2524363,episode/webshop_success_rate,150,0.5823733333333333,0.18328682610112004,0.025,0.892,0.042,0.533,0.63738
target,2524363,episode/webshop_webshop_task_score (not success_rate),150,0.76768,0.11306507388815228,0.383,0.96,0.383,0.731,0.8007
target,2524363,global_seqlen/balanced_max,150,1961435.0533333332,354196.5321533943,1310530.0,3355839.0,2410172.0,1951192.0,1862204.54
target,2524363,global_seqlen/balanced_min,150,1961434.5866666667,354196.515155983,1310529.0,3355839.0,2410171.0,1951191.0,1862204.04
