t	opened	closed	steps	gpu0_used_MiB	gpu0_util	gpu1_used_MiB	gpu1_util
12:29:17	1	0	0	86923	70	87439	69
12:29:22	1	0	0	86923	68	87439	45
12:29:27	1	0	0	86923	0	87439	12
12:29:33	1	0	0	86923	81	87439	64
12:29:38	1	0	0	86923	71	87439	59
12:29:43	1	0	0	86923	29	87439	89
12:29:48	1	0	0	86923	67	87439	65
12:29:53	1	0	0	86923	68	87439	69
12:29:58	1	0	0	86923	72	87439	69
12:30:03	1	0	0	22893	0	22893	0
12:30:08	1	0	0	22893	0	22893	0
12:30:13	1	0	0	25351	96	25161	96
12:30:18	1	0	0	26363	96	27191	96
12:30:23	1	0	0	26363	96	27193	96
12:30:28	1	0	0	26365	96	27195	96
12:30:33	1	0	0	36083	0	32917	0
12:30:38	1	0	0	36083	100	32917	0
12:30:43	1	0	0	45737	35	46559	47
12:30:48	1	0	0	45789	61	47343	91
12:30:54	1	0	0	45789	98	49539	69
12:30:59	1	0	0	45789	98	51617	100
12:31:04	1	0	0	45789	89	51617	95
12:31:09	1	0	0	45789	76	51617	56
12:31:14	1	0	0	45789	85	51619	83
12:31:19	1	0	0	45791	65	51619	96
12:31:24	1	0	0	45791	100	51619	97
12:31:29	1	0	0	45791	81	51619	74
12:31:34	1	0	0	46499	61	51619	100
12:31:39	1	0	0	46499	100	51619	97
12:31:44	1	0	0	46499	95	51619	90
12:31:49	1	0	0	46499	84	51621	82
12:31:54	1	0	0	46501	98	56031	82
12:31:59	1	0	0	46501	85	56031	99
12:32:04	1	0	0	46501	100	56031	90
12:32:10	1	0	0	46501	98	56031	78
12:32:15	1	0	0	46501	66	56031	71
12:32:20	1	0	0	46501	89	60903	90
12:32:25	1	0	0	46501	86	60903	74
12:32:30	1	0	0	46503	92	60903	80
12:32:35	1	0	0	46503	65	60903	75
12:32:40	1	0	0	46503	87	60903	50
12:32:45	1	0	0	46503	99	60903	88
12:32:50	1	0	0	46503	96	60903	86
12:32:55	1	0	0	46503	99	60903	95
12:33:00	1	0	0	46503	49	60905	57
12:33:05	1	0	0	46505	56	60905	98
12:33:10	1	0	0	46505	99	60905	82
12:33:15	1	0	0	46505	98	60905	98
12:33:20	1	0	0	46507	81	60905	79
12:33:26	1	0	0	46507	69	60905	64
12:33:31	1	0	0	46507	90	60905	75
12:33:36	1	0	0	46507	99	60905	99
12:33:41	1	0	0	46507	81	60905	98
12:33:46	1	0	0	46507	92	60907	95
12:33:51	1	0	0	46507	89	60907	84
12:33:56	1	0	0	46509	95	60907	81
12:34:01	1	0	0	46509	84	60907	57
12:34:06	1	0	0	46509	86	60907	59
12:34:11	1	0	0	46509	99	60909	58
12:34:16	1	0	0	46509	93	60909	77
12:34:21	1	0	0	46509	92	60909	94
12:34:26	1	0	0	46509	99	60909	75
12:34:31	1	0	0	46511	67	60909	36
12:34:36	1	0	0	46511	54	60909	60
12:34:42	1	0	0	46511	35	60909	98
12:34:47	1	0	0	46511	69	60909	68
12:34:52	1	0	0	46511	0	60909	0
12:34:57	1	1	1	80039	73	80517	65
12:35:02	1	1	1	80039	69	80517	64
12:35:07	1	1	1	80907	40	81113	84
12:35:12	1	1	1	86657	89	86645	90
12:35:17	1	1	1	86657	75	86645	76
12:35:22	1	1	1	88469	79	89367	20
12:35:27	1	1	1	88469	75	89367	76
12:35:32	1	1	1	88469	37	89367	96
12:35:37	1	1	1	88469	77	89367	72
12:35:42	1	1	1	88469	65	89367	67
12:35:47	1	1	1	88469	73	91411	72
12:35:52	1	1	1	88469	73	91411	58
12:35:58	1	1	1	88469	76	91411	71
12:36:03	1	1	1	88469	18	91411	97
12:36:08	1	1	1	88469	75	91411	71
12:36:13	1	1	1	88469	87	91411	92
12:36:18	1	1	1	88469	75	91411	70
12:36:23	1	1	1	88469	76	91411	71
12:36:28	1	1	1	88469	96	91411	99
12:36:33	1	1	1	88469	74	91411	74
12:36:38	1	1	1	88469	71	91411	74
12:36:43	1	1	1	88469	76	91411	54
12:36:48	1	1	1	88469	73	91411	77
12:36:53	1	1	1	88469	4	91411	0
12:36:58	1	1	1	88469	74	91411	73
12:37:03	1	1	1	88469	73	91411	71
12:37:08	1	1	1	88469	80	91411	99
12:37:13	1	1	1	88469	76	91411	63
12:37:19	1	1	1	88469	62	91411	67
12:37:24	1	1	1	88469	62	91411	27
12:37:29	1	1	1	88471	99	91411	75
12:37:34	1	1	1	88471	48	91411	0
12:37:39	1	1	1	88471	29	91411	82
12:37:44	1	1	1	88471	68	91411	0
12:37:49	1	1	1	88471	0	91411	64
12:37:54	1	1	1	88471	72	91411	55
12:37:59	1	1	1	88471	75	91411	72
12:38:04	1	1	1	88471	71	91411	0
12:38:09	1	1	1	88471	73	91411	69
12:38:14	1	1	1	88471	25	91411	96
12:38:19	1	1	1	88471	57	91411	0
12:38:24	1	1	1	88471	33	91411	91
12:38:29	1	1	1	88471	67	91411	69
12:38:34	1	1	1	88471	67	91411	73
12:38:40	1	1	1	88471	64	91411	0
12:38:45	1	1	1	88471	64	91411	67
12:38:50	1	1	1	88471	13	91411	71
12:38:55	1	1	1	88471	44	91411	67
12:39:00	1	1	1	88471	96	91411	0
12:39:05	1	1	1	88471	90	91411	68
12:39:10	1	1	1	88471	88	91411	69
12:39:15	1	1	1	88471	67	91411	65
12:39:20	1	1	1	88471	72	91411	67
12:39:25	1	1	1	88471	71	91411	71
12:39:30	1	1	1	88471	62	91411	61
12:39:35	1	1	1	88471	72	91411	70
12:39:40	1	1	1	88471	75	91411	68
12:39:45	1	1	1	88471	27	91411	99
12:39:50	1	1	1	88471	96	91411	74
12:39:56	1	1	1	30025	0	30505	0
12:40:01	1	1	1	30919	100	30505	0
12:40:06	1	1	1	33029	96	31399	99
12:40:11	1	1	1	33031	96	31401	96
12:40:16	1	1	1	33033	96	31403	96
12:40:21	1	1	1	33577	96	31405	96
12:40:26	1	1	1	38691	0	38679	0
12:40:31	1	1	1	38691	0	38679	0
12:40:36	1	1	1	48535	79	48323	90
12:40:41	1	1	1	48535	65	48373	76
12:40:46	1	1	1	48535	98	48373	82
12:40:51	1	1	1	48535	81	48373	100
12:40:56	1	1	1	48535	77	48373	88
12:41:01	1	1	1	48535	99	48373	83
12:41:06	1	1	1	48535	98	48373	98
12:41:12	1	1	1	48537	74	48423	68
12:41:17	1	1	1	48537	91	48423	99
12:41:22	1	1	1	48537	79	48423	89
12:41:27	1	1	1	48537	81	48425	98
12:41:32	1	1	1	48537	99	48425	81
